Run,Subject,Visit,Celltype,MID
SRR747232,11,V3,PBMC,33
SRR747232,25,V1,PBMC,34
SRR747232,25,V3,PBMC,35
SRR747232,29,V1,PBMC,36
SRR747232,29,V3,PBMC,37
SRR747232,11,V1,PBMC,38
SRR747758,11,V3,PBMC,33
SRR747758,25,V1,PBMC,34
SRR747758,25,V3,PBMC,35
SRR747758,29,V1,PBMC,36
SRR747758,29,V3,PBMC,37
SRR747758,11,V1,PBMC,38
SRR747760,11,V3,PBMC,33
SRR747760,25,V1,PBMC,34
SRR747760,25,V3,PBMC,35
SRR747760,29,V1,PBMC,36
SRR747760,29,V3,PBMC,37
SRR747760,11,V1,PBMC,38
SRR747785,57,V2,NB,57
SRR747785,57,V2,PB,58
SRR747785,6,V2,NB,59
SRR747785,6,V2,PB,60
SRR747785,60,V2,NB,2
SRR747785,60,V2,PB,3
SRR747785,6,V1,PBMC,4
SRR747785,6,V3,PBMC,5
SRR747785,57,V1,PBMC,6
SRR747785,57,V3,PBMC,7
SRR747785,60,V1,PBMC,8
SRR747785,60,V3,PBMC,9
SRR747761,29,V2,NB,13
SRR747761,29,V2,PB,14
SRR747761,25,V2,PB,15
SRR747761,11,V2,NB,16
SRR747761,25,V2,NB,17
SRR747761,11,V2,PB,18
SRR747761,52,V2,NB,19
SRR747761,52,V2,PB,20
SRR747761,51,V2,NB,21
SRR747761,51,V2,PB,22
SRR747761,54,V2,NB,23
SRR747761,54,V2,PB,24
SRR747763,29,V2,NB,13
SRR747763,29,V2,PB,14
SRR747763,25,V2,PB,15
SRR747763,11,V2,NB,16
SRR747763,25,V2,NB,17
SRR747763,11,V2,PB,18
SRR747763,52,V2,NB,19
SRR747763,52,V2,PB,20
SRR747763,51,V2,NB,21
SRR747763,51,V2,PB,22
SRR747763,54,V2,NB,23
SRR747763,54,V2,PB,24
SRR747766,134,V2,NB,10
SRR747766,93,V2,NB,13
SRR747766,124,V2,NB,16
SRR747766,133,V2,NB,19
SRR747766,134,V1,PBMC,22
SRR747766,134,V3,PBMC,23
SRR747766,93,V1,PBMC,24
SRR747766,93,V3,PBMC,25
SRR747766,124,V1,PBMC,26
SRR747766,124,V3,PBMC,27
SRR747766,133,V1,PBMC,28
SRR747766,133,V3,PBMC,29
SRR747767,134,V2,PB,11
SRR747767,93,V2,PB,14
SRR747767,124,V2,PB,17
SRR747767,133,V2,PB,20
SRR747768,53,V2,PB,46
SRR747768,58,V2,NB,42
SRR747768,58,V2,PB,43
SRR747768,58,V1,PBMC,44
SRR747768,58,V3,PBMC,1
SRR765688,43,V1,PBMC,51
SRR765688,44,V1,PBMC,53
SRR765688,43,V3,PBMC,52
SRR765688,44,V3,PBMC,54
SRR747768,53,V2,NB,45
SRR747768,53,V1,PBMC,55
SRR747768,53,V3,PBMC,56
SRR770500,53,V2,NB,45
SRR770500,43,V2,NB,47
SRR770500,43,V2,PB,48
SRR770500,44,V2,NB,49
SRR770500,44,V2,PB,50
SRR770500,43,V1,PBMC,51
SRR770500,43,V3,PBMC,52
SRR770500,44,V1,PBMC,53
SRR770500,44,V3,PBMC,54
SRR770500,53,V1,PBMC,55
SRR770500,53,V3,PBMC,56
